APHUS_MTRNT_PC_LGZ_DISTB_FCLTY_LCT_LKFM_NO|SIDO_NM|SIGNGU_NM|TNSHP_NM|EMD_NM|HONO_NM|HONO_LO|HONO_LA|MTRNT_CLSF|SMOEU|CNTRCT_DE|GTN|MNTH_RENTCG|FLR|BULD_YR|NGHB_LGZ_DISTB_FCLTY|NGHB_LGZ_DISTB_FCLTY_LO|NGHB_LGZ_DISTB_FCLTY_LA|NGHB_LGZ_DISTB_FCLTY_DSTNC|__source_file|LTNO_NM|LTNO_LO|LTNO_LA|BILDNG_YR|bonbun|bubun|bonbun4|bubun4|PNU
25328|서울특별시|강서구||화곡동|100-18|126.84606|37.54082|전세|64.92|20230503|17,000|0|3|1993|홈플러스(주) 강서점|126.85492|37.55853|2.11911|유통시설2301_csv.csv|||||100|18|0100|0018|1150010300101000018
25329|서울특별시|강서구||화곡동|100-18|126.84606|37.54082|월세|54.24|20230523|10,000|20|4|1993|홈플러스(주) 강서점|126.85492|37.55853|2.11911|유통시설2301_csv.csv|||||100|18|0100|0018|1150010300101000018
25330|서울특별시|강서구||화곡동|100-28|126.84669|37.54075|전세|47.08|20230317|14,000|0|5|2002|홈플러스(주) 강서점|126.85492|37.55853|2.10629|유통시설2301_csv.csv|||||100|28|0100|0028|1150010300101000028
25331|서울특별시|강서구||화곡동|1007-21|126.83536|37.54733|월세|84.19|20230116|10,000|80|2|1990|홈플러스(주) 강서점|126.85492|37.55853|2.12721|유통시설2301_csv.csv|||||1007|21|1007|0021|1150010300110070021
25332|서울특별시|강서구||화곡동|1007-9|126.83506|37.54733|월세|84.69|20230119|5,500|85|3|1990|홈플러스(주) 강서점|126.85492|37.55853|2.14861|유통시설2301_csv.csv|||||1007|9|1007|0009|1150010300110070009
25333|서울특별시|강서구||화곡동|1008-21|126.83429|37.54754|전세|26.86|20230527|15,000|0|5|2012|홈플러스(주) 강서점|126.85492|37.55853|2.19125|유통시설2301_csv.csv|||||1008|21|1008|0021|1150010300110080021
25334|서울특별시|강서구||화곡동|1009-4|126.83412|37.54733|월세|45.24|20230118|1,000|53|-1|1997|홈플러스(주) 강서점|126.85492|37.55853|2.21684|유통시설2301_csv.csv|||||1009|4|1009|0004|1150010300110090004
25335|서울특별시|강서구||화곡동|1009-8|126.83465|37.54724|월세|84.04|20230109|5,000|130|4|2001|홈플러스(주) 강서점|126.85492|37.55853|2.18421|유통시설2301_csv.csv|||||1009|8|1009|0008|1150010300110090008
25336|서울특별시|강서구||화곡동|1009-8|126.83465|37.54724|전세|81.71|20230406|40,000|0|2|2001|홈플러스(주) 강서점|126.85492|37.55853|2.18421|유통시설2301_csv.csv|||||1009|8|1009|0008|1150010300110090008
25337|서울특별시|강서구||화곡동|1010-13|126.83462|37.54667|전세|53.5|20230305|22,000|0|1|2002|홈플러스(주) 강서점|126.85492|37.55853|2.22321|유통시설2301_csv.csv|||||1010|13|1010|0013|1150010300110100013
25338|서울특별시|강서구||화곡동|1010-22|126.83482|37.5469|월세|9.24|20230625|800|43|2|2011|홈플러스(주) 강서점|126.85492|37.55853|2.19393|유통시설2301_csv.csv|||||1010|22|1010|0022|1150010300110100022
25339|서울특별시|강서구||화곡동|1010-7|126.83423|37.54688|전세|49.39|20230108|21,000|0|2|2008|홈플러스(주) 강서점|126.85492|37.55853|2.23775|유통시설2301_csv.csv|||||1010|7|1010|0007|1150010300110100007
25340|서울특별시|강서구||화곡동|1011-6|126.83453|37.54654|전세|84.62|20230203|40,000|0|11|2002|홈플러스(주) 강서점|126.85492|37.55853|2.23806|유통시설2301_csv.csv|||||1011|6|1011|0006|1150010300110110006
25341|서울특별시|강서구||화곡동|1011-6|126.83453|37.54654|전세|84.64|20230320|50,000|0|10|2002|홈플러스(주) 강서점|126.85492|37.55853|2.23806|유통시설2301_csv.csv|||||1011|6|1011|0006|1150010300110110006
25342|서울특별시|강서구||화곡동|1014-12|126.83528|37.54495|전세|99.34|20230309|34,000|0|7|2004|홈플러스(주) 강서점|126.85492|37.55853|2.29727|유통시설2301_csv.csv|||||1014|12|1014|0012|1150010300110140012
25343|서울특별시|강서구||화곡동|1014-14|126.83513|37.545|월세|26.58|20230203|1,000|40|3|2002|홈플러스(주) 강서점|126.85492|37.55853|2.30396|유통시설2301_csv.csv|||||1014|14|1014|0014|1150010300110140014
25344|서울특별시|강서구||화곡동|1014-23|126.83573|37.54534|월세|12.64|20230614|2,000|35|2|2012|홈플러스(주) 강서점|126.85492|37.55853|2.23954|유통시설2301_csv.csv|||||1014|23|1014|0023|1150010300110140023
25345|서울특별시|강서구||화곡동|1014-39|126.83559|37.54562|전세|57.03|20230304|19,000|0|3|2002|홈플러스(주) 강서점|126.85492|37.55853|2.22826|유통시설2301_csv.csv|||||1014|39|1014|0039|1150010300110140039
25346|서울특별시|강서구||화곡동|1014-9|126.8352|37.54526|월세|44.1|20230424|2,000|60|5|2009|홈플러스(주) 강서점|126.85492|37.55853|2.28055|유통시설2301_csv.csv|||||1014|9|1014|0009|1150010300110140009
25347|서울특별시|강서구||화곡동|1015-31|126.83485|37.54559|전세|53.25|20230214|16,600|0|3|2002|홈플러스(주) 강서점|126.85492|37.55853|2.28007|유통시설2301_csv.csv|||||1015|31|1015|0031|1150010300110150031
25348|서울특별시|강서구||화곡동|1016-19|126.83397|37.54461|월세|19.24|20230512|5,000|65|2|2022|홈플러스(주) 강서점|126.85492|37.55853|2.40966|유통시설2301_csv.csv|||||1016|19|1016|0019|1150010300110160019
25349|서울특별시|강서구||화곡동|1016-19|126.83397|37.54461|월세|37.63|20230524|5,000|115|6|2022|홈플러스(주) 강서점|126.85492|37.55853|2.40966|유통시설2301_csv.csv|||||1016|19|1016|0019|1150010300110160019
25350|서울특별시|강서구||화곡동|1016-2|126.83318|37.54443|월세|32.4|20230307|8,000|11|2|2002|홈플러스(주) 강서점|126.85492|37.55853|2.47612|유통시설2301_csv.csv|||||1016|2|1016|0002|1150010300110160002
25351|서울특별시|강서구||화곡동|1016-31|126.83456|37.54446|월세|18.75|20230221|1,000|43|3|2011|홈플러스(주) 강서점|126.85492|37.55853|2.38113|유통시설2301_csv.csv|||||1016|31|1016|0031|1150010300110160031
25352|서울특별시|강서구||화곡동|1016-31|126.83456|37.54446|월세|16.5|20230225|1,000|42|2|2011|홈플러스(주) 강서점|126.85492|37.55853|2.38113|유통시설2301_csv.csv|||||1016|31|1016|0031|1150010300110160031
25353|서울특별시|강서구||화곡동|1016-36|126.83325|37.54455|월세|58.91|20230603|2,000|60|3|2004|홈플러스(주) 강서점|126.85492|37.55853|2.46316|유통시설2301_csv.csv|||||1016|36|1016|0036|1150010300110160036
