전용면적(㎡),대지권면적(㎡),계약일,거래금액(만원),층,거래유형,관내,PNU,매수자_M,매수자_개인,매수자_공공기관,매수자_기타,매수자_법인,매도자_M,매도자_개인,매도자_공공기관,매도자_기타,매도자_법인,등기일자,건축연령,계약기간,거래유형_중개거래,거래유형_직거래
42.0,20.24,2024-01-29,16850,4,중개거래,1,1150010300100560347,0,0,0,0,1,0,0,0,0,1,2024-01-29,22,,1,0
28.96,24.23,2024-01-29,14000,4,직거래,0,1150010300100460195,0,0,0,0,1,0,1,0,0,0,2024-02-07,14,,0,1
28.53,13.35,2024-01-29,8000,4,직거래,0,1150010300100560323,0,1,0,0,0,0,0,0,0,1,2024-01-31,23,,0,1
32.88,22.0,2024-01-28,16500,3,중개거래,1,1150010300111290023,0,1,0,0,0,0,1,0,0,0,2024-01-29,33,,1,0
55.9,24.57,2024-01-28,19600,3,중개거래,1,1150010300100590085,0,1,0,0,0,0,1,0,0,0,2024-08-20,22,,1,0
81.06,31.42,2024-01-27,32000,3,중개거래,1,1150010300103450004,0,1,0,0,0,0,1,0,0,0,2024-04-01,23,,1,0
29.65,20.69,2024-01-27,25000,3,직거래,0,1150010300108220003,0,1,0,0,0,0,1,0,0,0,2024-02-06,2,,0,1
54.09,30.0,2024-01-27,18000,5,중개거래,1,1150010300103730024,0,1,0,0,0,0,1,0,0,0,2024-04-25,23,,1,0
51.09,28.57,2024-01-27,19500,3,중개거래,1,1150010300104700003,0,1,0,0,0,0,1,0,0,0,2024-02-01,29,,1,0
59.76,34.44,2024-01-27,22500,4,중개거래,1,1150010300104100237,0,1,0,0,0,0,1,0,0,0,2024-03-29,14,,1,0
29.86,21.49,2024-01-27,15500,2,중개거래,1,1150010300100460195,0,1,0,0,0,0,0,0,0,1,,14,,1,0
26.96,18.82,2024-01-27,24000,3,직거래,0,1150010300108220003,0,1,0,0,0,0,1,0,0,0,2024-02-06,2,,0,1
29.93,18.31,2024-01-26,26800,3,중개거래,1,1150010300103620077,0,1,0,0,0,0,1,0,0,0,2024-01-31,5,,1,0
26.96,17.07,2024-01-26,19000,5,직거래,0,1150010300103400090,0,1,0,0,0,0,1,0,0,0,2024-01-31,10,,0,1
29.77,18.49,2024-01-26,22400,4,중개거래,1,1150010300103800006,0,1,0,0,0,0,1,0,0,0,2024-03-27,8,,1,0
38.88,22.14,2024-01-26,14900,2,중개거래,1,1150010300103430014,0,1,0,0,0,0,1,0,0,0,2024-02-06,21,,1,0
32.84,16.2,2024-01-26,10200,1,중개거래,1,1150010300100560321,0,1,0,0,0,0,1,0,0,0,2024-02-06,16,,1,0
75.18,39.38,2024-01-26,32000,4,중개거래,1,1150010300101110131,0,1,0,0,0,0,1,0,0,0,2024-03-29,23,,1,0
