PNU,계약일자,전월세구분,전용면적(㎡),보증금(만원),보증금_증감률(%),월세금(만원),전세_환산가(만원),층,계약기간_일수,계약구분,종전계약 보증금(만원),종전계약 월세(만원),건축연령
1150010300110410016,2024-01-29,전세,29.39,18700,,0,18700.0,2,731.0,1,,,6
1150010300110360001,2024-01-29,전세,27.79,17000,,0,17000.0,2,730.0,1,,,6
1150010300104100036,2024-01-29,전세,70.74,16000,,0,16000.0,2,730.0,1,,,22
1150010300104100036,2024-01-29,전세,70.74,16000,,0,16000.0,2,,1,,,22
1150010300109950015,2024-01-29,전세,42.85,8000,,0,8000.0,-1,731.0,1,,,23
1150010300110980014,2024-01-29,월세,56.98,17000,,20,17480.66,5,731.0,1,,,12
1150010300100560473,2024-01-29,전세,51.36,13000,,0,13000.0,3,731.0,1,,,22
1150010300100560123,2024-01-29,월세,38.03,10800,,5,10920.16,3,731.0,1,,,33
1150010300105040040,2024-01-29,전세,29.94,20000,,0,20000.0,3,731.0,1,,,1
1150010300110140036,2024-01-29,전세,45.9,14200,,0,14200.0,2,730.0,1,,,22
1150010300108640045,2024-01-29,전세,35.9,17700,,0,17700.0,4,731.0,1,,,11
1150010300103550041,2024-01-29,전세,27.46,26000,,0,26000.0,5,731.0,1,,,2
1150010300110550017,2024-01-29,월세,27.91,8000,,80,9922.63,5,731.0,1,,,3
1150010300103550041,2024-01-29,전세,27.46,26000,,0,26000.0,5,731.0,1,,,2
1150010300109950015,2024-01-29,전세,42.85,8000,,0,8000.0,-1,730.0,1,,,23
1150010300100460175,2024-01-29,월세,40.3,5000,,50,6200.0,3,730.0,1,,,31
1150010300103800012,2024-01-28,전세,39.88,21670,,0,21670.0,2,730.0,1,,,7
1150010300103670012,2024-01-28,전세,26.05,15000,,0,15000.0,2,731.0,1,,,7
1150010300103930009,2024-01-28,전세,29.53,18900,,0,18900.0,2,730.0,1,,,7
1150010300111200008,2024-01-27,전세,29.94,17000,-4.49,0,17000.0,3,731.0,0,"17,800",0.0,7
1150010300110530017,2024-01-27,전세,56.15,17500,,0,17500.0,4,730.0,1,,,24
1150010300100860002,2024-01-27,전세,54.49,14700,,0,14700.0,5,730.0,1,,,23
1150010300101580003,2024-01-27,월세,45.22,11600,,24,12176.79,4,731.0,1,,,31
1150010300104300022,2024-01-27,전세,67.81,17000,,0,17000.0,2,731.0,1,,,26
1150010300103920070,2024-01-27,전세,46.53,15000,3.45,0,15000.0,3,731.0,0,"14,500",0.0,23
1150010300109690013,2024-01-27,월세,29.78,12700,,10,12940.0,2,730.0,1,,,12
1150010300101050022,2024-01-27,전세,45.64,18600,-6.77,0,18600.0,3,731.0,0,"19,950",0.0,13
1150010300100980034,2024-01-27,전세,62.845,17500,,0,17500.0,3,730.0,1,,,27
1150010300104800014,2024-01-27,전세,29.97,27100,,0,27100.0,6,730.0,1,,,1
1150010300101640010,2024-01-27,전세,64.22,17000,,0,17000.0,3,730.0,1,,,17
1150010300103620152,2024-01-27,월세,23.56,19000,,15,19360.0,7,730.0,1,,,8
1150010300103720103,2024-01-27,전세,42.57,12000,,0,12000.0,3,731.0,1,,,22
1150010300103620152,2024-01-27,전세,34.68,19400,,0,19400.0,5,730.0,1,,,8
1150010300104210029,2024-01-27,전세,37.765,18700,,0,18700.0,3,730.0,1,,,10
1150010300103660004,2024-01-27,전세,40.25,19000,,0,19000.0,3,730.0,1,,,11
1150010300111200008,2024-01-27,전세,29.94,17800,0.0,0,17800.0,3,731.0,0,"17,800",0.0,7
1150010300110070021,2024-01-27,월세,84.43,5000,,100,7400.0,1,730.0,1,,,34
1150010300110070021,2024-01-27,월세,84.43,5000,,100,7400.0,1,730.0,1,,,34
1150010300100460179,2024-01-27,전세,60.17,16000,,0,16000.0,4,730.0,1,,,22
1150010300101510009,2024-01-27,월세,64.44,16800,,10,17040.0,3,730.0,1,,,23
1150010300101610033,2024-01-27,전세,29.14,22420,,0,22420.0,2,730.0,1,,,1
